Name: شارع لويس عوض, Instruction: Head east on شارع لويس عوض, Distance: 67.2 meters, Time: 48.4 seconds
Name: شارع المرزوقي, Instruction: Turn left onto شارع المرزوقي, Distance: 148.1 meters, Time: 106.6 seconds
Name: شارع حاتم الطائي, Instruction: Turn left onto شارع حاتم الطائي, Distance: 15.9 meters, Time: 11.5 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: محور 79, Instruction: Turn left onto محور 79, Distance: 4.8 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: محور 79, Instruction: Turn right onto محور 79, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 74.9 meters, Time: 54.0 seconds
Name: -, Instruction: Continue straight, Distance: 9.3 meters, Time: 6.7 seconds
Name: شارع الشهيد فضل المولى, Instruction: Turn left onto شارع الشهيد فضل المولى, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: شارع ابن الخياط, Instruction: Turn left onto شارع ابن الخياط, Distance: 12.2 meters, Time: 8.7 seconds
Name: شارع ابن الخياط, Instruction: Keep right onto شارع ابن الخياط, Distance: 33.7 meters, Time: 24.3 seconds
Name: -, Instruction: Turn right, Distance: 180.8 meters, Time: 130.1 seconds
Name: -, Instruction: Keep right, Distance: 35.9 meters, Time: 25.8 seconds
Name: شارع قطب الدين, Instruction: Turn right onto شارع قطب الدين, Distance: 108.5 meters, Time: 78.1 seconds
Name: شارع جرير, Instruction: Turn left onto شارع جرير, Distance: 82.0 meters, Time: 59.1 seconds
Name: شارع الشهيد فؤاد منصور, Instruction: Turn left onto شارع الشهيد فؤاد منصور, Distance: 82.2 meters, Time: 59.2 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: شارع الشهيد فؤاد منصور, Instruction: Turn left onto شارع الشهيد فؤاد منصور, Distance: 9.1 meters, Time: 6.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 137.8 meters, Time: 99.2 seconds
Name: شارع ابن حيان القرطبى, Instruction: Turn left onto شارع ابن حيان القرطبى, Distance: 46.2 meters, Time: 33.3 seconds
Name: -, Instruction: Turn right, Distance: 6.9 meters, Time: 4.9 seconds
Name: شارع ابن حيان القرطبى, Instruction: Turn left onto شارع ابن حيان القرطبى, Distance: 32.8 meters, Time: 23.6 seconds
Name: شارع ابن الصغير, Instruction: Turn slight right onto شارع ابن الصغير, Distance: 67.2 meters, Time: 48.4 seconds
Name: شارع السيدة نفيسة, Instruction: Turn right onto شارع السيدة نفيسة, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Arrive at شارع السيدة نفيسة, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
