Name: Ferguson Street, Instruction: Head south on Ferguson Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 106.1 meters, Time: 76.4 seconds
Name: -, Instruction: Keep right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 188.6 meters, Time: 135.8 seconds
Name: -, Instruction: Turn left, Distance: 18.3 meters, Time: 13.2 seconds
Name: Paine Street, Instruction: Turn right onto Paine Street, Distance: 71.9 meters, Time: 51.7 seconds
Name: Paine Street, Instruction: Keep left onto Paine Street, Distance: 669.3 meters, Time: 481.9 seconds
Name: Parer Street, Instruction: Turn left onto Parer Street, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 203.2 meters, Time: 146.3 seconds
Name: -, Instruction: Turn right, Distance: 20.5 meters, Time: 14.8 seconds
Name: Bunnerong Road, Instruction: Turn left onto Bunnerong Road, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at Bunnerong Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
