Name: Avenida Los Ángeles, Instruction: Head west on Avenida Los Ángeles, Distance: 130.5 meters, Time: 94.0 seconds
Name: Prolongación San Carlos, Instruction: Turn left onto Prolongación San Carlos, Distance: 180.3 meters, Time: 129.8 seconds
Name: Avenida El Rosario, Instruction: Turn slight right onto Avenida El Rosario, Distance: 284.6 meters, Time: 204.9 seconds
Name: Avenida El Rosario, Instruction: Continue straight onto Avenida El Rosario, Distance: 51.3 meters, Time: 36.9 seconds
Name: Avenida El Rosario, Instruction: Continue straight onto Avenida El Rosario, Distance: 131.5 meters, Time: 94.7 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 198.4 meters, Time: 142.9 seconds
Name: Avenida Aquiles Serdán, Instruction: Turn sharp left onto Avenida Aquiles Serdán, Distance: 13.3 meters, Time: 9.5 seconds
Name: Avenida El Rosario, Instruction: Turn right onto Avenida El Rosario, Distance: 216.0 meters, Time: 155.5 seconds
Name: -, Instruction: Turn right, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 256.6 meters, Time: 184.7 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn left, Distance: 360.1 meters, Time: 259.3 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: Calle Zempoaltecas, Instruction: Turn right onto Calle Zempoaltecas, Distance: 180.9 meters, Time: 130.3 seconds
Name: -, Instruction: Turn right, Distance: 156.6 meters, Time: 112.7 seconds
Name: Calle Zempoaltecas, Instruction: Turn right onto Calle Zempoaltecas, Distance: 49.8 meters, Time: 35.8 seconds
Name: -, Instruction: Arrive at Calle Zempoaltecas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
