Name: Bedwin Road, Instruction: Head north on Bedwin Road, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 372.8 meters, Time: 268.4 seconds
Name: -, Instruction: Turn slight left, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep right, Distance: 707.1 meters, Time: 509.1 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn right, Distance: 33.6 meters, Time: 24.2 seconds
Name: London Street, Instruction: Turn left onto London Street, Distance: 39.1 meters, Time: 28.1 seconds
Name: Belmore Lane, Instruction: Turn right onto Belmore Lane, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn left, Distance: 303.4 meters, Time: 218.5 seconds
Name: Gladstone Street, Instruction: Turn right onto Gladstone Street, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 51.0 meters, Time: 36.7 seconds
Name: Trafalgar Street, Instruction: Turn left onto Trafalgar Street, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Keep right, Distance: 100.6 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 21.2 meters, Time: 15.2 seconds
Name: Trade Street, Instruction: Turn slight right onto Trade Street, Distance: 26.3 meters, Time: 18.9 seconds
Name: Kingston Lane, Instruction: Turn left onto Kingston Lane, Distance: 366.6 meters, Time: 263.9 seconds
Name: -, Instruction: Turn left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Turn right, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 282.8 meters, Time: 203.6 seconds
Name: -, Instruction: Turn right, Distance: 45.7 meters, Time: 32.9 seconds
Name: -, Instruction: Turn right, Distance: 31.7 meters, Time: 22.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
