Name: Elgin Avenue, Instruction: Head west on Elgin Avenue, Distance: 245.4 meters, Time: 176.7 seconds
Name: Bedford Road, Instruction: Turn left onto Bedford Road, Distance: 93.4 meters, Time: 67.2 seconds
Name: -, Instruction: Turn right, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: Lowther Avenue, Instruction: Turn right onto Lowther Avenue, Distance: 629.4 meters, Time: 453.2 seconds
Name: Lowther Avenue, Instruction: Turn left onto Lowther Avenue, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 14.7 meters, Time: 10.6 seconds
Name: -, Instruction: Keep left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Keep right, Distance: 11.1 meters, Time: 8.0 seconds
Name: -, Instruction: Turn slight right, Distance: 156.7 meters, Time: 112.8 seconds
Name: -, Instruction: Turn slight right, Distance: 64.7 meters, Time: 46.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Brunswick Avenue, Instruction: Turn right onto Brunswick Avenue, Distance: 30.0 meters, Time: 21.6 seconds
Name: Barton Avenue, Instruction: Turn left onto Barton Avenue, Distance: 98.5 meters, Time: 70.9 seconds
Name: Howland Avenue, Instruction: Turn right onto Howland Avenue, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: Barton Avenue, Instruction: Turn right onto Barton Avenue, Distance: 694.3 meters, Time: 499.9 seconds
Name: -, Instruction: Turn left, Distance: 9.2 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
