Name: Rue Laffitte, Instruction: Head north on Rue Laffitte, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn right, Distance: 102.8 meters, Time: 74.0 seconds
Name: -, Instruction: Turn slight left, Distance: 112.0 meters, Time: 80.6 seconds
Name: -, Instruction: Turn slight left, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Keep right, Distance: 57.6 meters, Time: 41.5 seconds
Name: -, Instruction: Keep right, Distance: 98.4 meters, Time: 70.8 seconds
Name: -, Instruction: Keep right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Keep left, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Keep left, Distance: 58.1 meters, Time: 41.8 seconds
Name: -, Instruction: Turn left, Distance: 76.4 meters, Time: 55.0 seconds
Name: -, Instruction: Turn slight left, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Keep left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep left, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 4.6 meters, Time: 3.3 seconds
Name: -, Instruction: Turn left, Distance: 191.2 meters, Time: 137.6 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue de Chabrol, Instruction: Turn right onto Rue de Chabrol, Distance: 205.1 meters, Time: 147.7 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 114.5 meters, Time: 82.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 20.9 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn slight left, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: Rue d'Alsace, Instruction: Turn left onto Rue d'Alsace, Distance: 121.7 meters, Time: 87.6 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.1 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn left, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn right, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 233.5 meters, Time: 168.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
