Name: Kabardin Street, Instruction: Head northeast on Kabardin Street, Distance: 185.1 meters, Time: 133.3 seconds
Name: Paso Fino Crescent, Instruction: Turn left onto Paso Fino Crescent, Distance: 295.4 meters, Time: 212.7 seconds
Name: -, Instruction: Turn left, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 109.3 meters, Time: 78.7 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 304.3 meters, Time: 219.1 seconds
Name: -, Instruction: Keep left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Keep right, Distance: 415.9 meters, Time: 299.5 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.6 seconds
Name: -, Instruction: Turn slight left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Turn right, Distance: 21.6 meters, Time: 15.6 seconds
Name: -, Instruction: Continue straight, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn left, Distance: 435.3 meters, Time: 313.4 seconds
Name: -, Instruction: Turn left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
