Name: شارع محمد رفعت, Instruction: Head west on شارع محمد رفعت, Distance: 128.4 meters, Time: 92.5 seconds
Name: شارع المشير احمد اسماعيل, Instruction: Turn right onto شارع المشير احمد اسماعيل, Distance: 326.0 meters, Time: 234.7 seconds
Name: شارع المشير احمد اسماعيل, Instruction: Continue straight onto شارع المشير احمد اسماعيل, Distance: 54.1 meters, Time: 39.0 seconds
Name: شارع المشير احمد اسماعيل, Instruction: Enter the roundabout and take the 3rd exit onto شارع المشير احمد اسماعيل, Distance: 292.1 meters, Time: 210.3 seconds
Name: شارع احمد اسماعيل, Instruction: Turn right onto شارع احمد اسماعيل, Distance: 85.8 meters, Time: 61.8 seconds
Name: شارع اللواء جلال يسري, Instruction: Turn left onto شارع اللواء جلال يسري, Distance: 77.7 meters, Time: 56.0 seconds
Name: شارع محمد فطين, Instruction: Turn right onto شارع محمد فطين, Distance: 323.2 meters, Time: 232.7 seconds
Name: شارع محمد فطين, Instruction: Keep left onto شارع محمد فطين, Distance: 42.6 meters, Time: 30.7 seconds
Name: شارع السادات, Instruction: Turn left onto شارع السادات, Distance: 103.8 meters, Time: 74.8 seconds
Name: -, Instruction: Keep left, Distance: 124.8 meters, Time: 89.9 seconds
Name: -, Instruction: Turn left, Distance: 59.5 meters, Time: 42.8 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 36.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
