Name: Madeira Lane, Instruction: Head east on Madeira Lane, Distance: 67.1 meters, Time: 48.3 seconds
Name: Madeira Place, Instruction: Turn left onto Madeira Place, Distance: 53.6 meters, Time: 38.6 seconds
Name: -, Instruction: Continue straight, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Keep right, Distance: 208.9 meters, Time: 150.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 110.1 meters, Time: 79.2 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Keep right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn slight left, Distance: 416.8 meters, Time: 300.1 seconds
Name: -, Instruction: Keep right, Distance: 173.6 meters, Time: 125.0 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: Symonds Street, Instruction: Turn right onto Symonds Street, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 106.4 meters, Time: 76.6 seconds
Name: -, Instruction: Keep right, Distance: 258.3 meters, Time: 186.0 seconds
Name: Saint Paul Street, Instruction: Turn right onto Saint Paul Street, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 252.8 meters, Time: 182.0 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: -, Instruction: Keep right, Distance: 27.4 meters, Time: 19.7 seconds
Name: -, Instruction: Turn left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep right, Distance: 121.8 meters, Time: 87.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
