Name: Aldwych, A4, Instruction: Head west on Aldwych, A4, Distance: 40.9 meters, Time: 29.4 seconds
Name: Houghton Street, Instruction: Turn right onto Houghton Street, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 79.5 meters, Time: 57.2 seconds
Name: -, Instruction: Turn left, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 452.5 meters, Time: 325.8 seconds
Name: Stukeley Street, Instruction: Turn left onto Stukeley Street, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.2 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 99.9 meters, Time: 71.9 seconds
Name: -, Instruction: Turn right, Distance: 56.4 meters, Time: 40.6 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 61.2 meters, Time: 44.1 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
