Name: Rua Hugo Leal, Instruction: Head northwest on Rua Hugo Leal, Distance: 271.9 meters, Time: 195.8 seconds
Name: -, Instruction: Keep right, Distance: 15.4 meters, Time: 11.1 seconds
Name: Rua Bocaiúva, Instruction: Turn right onto Rua Bocaiúva, Distance: 96.7 meters, Time: 69.6 seconds
Name: Estrada do Galeão, Instruction: Turn sharp left onto Estrada do Galeão, Distance: 36.8 meters, Time: 26.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.5 meters, Time: 23.4 seconds
Name: Estrada do Galeão, Instruction: Turn left onto Estrada do Galeão, Distance: 133.2 meters, Time: 95.9 seconds
Name: Avenida Maestro Paulo Silva, Instruction: Keep right onto Avenida Maestro Paulo Silva, Distance: 88.9 meters, Time: 64.0 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: Avenida Maestro Paulo Silva, Instruction: Turn sharp right onto Avenida Maestro Paulo Silva, Distance: 50.4 meters, Time: 36.3 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: Rua Fernando de Azevedo, Instruction: Turn left onto Rua Fernando de Azevedo, Distance: 167.2 meters, Time: 120.3 seconds
Name: Rua Saturnino de Brito Filho, Instruction: Keep left onto Rua Saturnino de Brito Filho, Distance: 205.1 meters, Time: 147.7 seconds
Name: Rua Gustavo Augusto de Rezende, Instruction: Turn right onto Rua Gustavo Augusto de Rezende, Distance: 177.8 meters, Time: 128.0 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 42.5 meters, Time: 30.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
