Name: Rue de Bourgogne, Instruction: Head north on Rue de Bourgogne, Distance: 9.7 meters, Time: 7.0 seconds
Name: Place du Palais Bourbon, Instruction: Turn right onto Place du Palais Bourbon, Distance: 64.6 meters, Time: 46.5 seconds
Name: Rue Aristide Briand, Instruction: Keep left onto Rue Aristide Briand, Distance: 98.5 meters, Time: 70.9 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 73.6 meters, Time: 53.0 seconds
Name: -, Instruction: Turn right, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 24.6 meters, Time: 17.7 seconds
Name: -, Instruction: Turn right, Distance: 158.7 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 107.5 meters, Time: 77.4 seconds
Name: Place de la Concorde, Instruction: Turn left onto Place de la Concorde, Distance: 26.3 meters, Time: 18.9 seconds
Name: Place de la Concorde, Instruction: Turn right onto Place de la Concorde, Distance: 160.0 meters, Time: 115.2 seconds
Name: Place de la Concorde, Instruction: Turn right onto Place de la Concorde, Distance: 76.8 meters, Time: 55.3 seconds
Name: Place de la Concorde, Instruction: Turn left onto Place de la Concorde, Distance: 34.0 meters, Time: 24.4 seconds
Name: Place de la Concorde, Instruction: Turn right onto Place de la Concorde, Distance: 15.9 meters, Time: 11.4 seconds
Name: Place de la Concorde, Instruction: Turn left onto Place de la Concorde, Distance: 3.8 meters, Time: 2.7 seconds
Name: Rue Saint-Florentin, Instruction: Turn slight right onto Rue Saint-Florentin, Distance: 310.5 meters, Time: 223.6 seconds
Name: -, Instruction: Keep left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.3 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 223.8 meters, Time: 161.1 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn right, Distance: 296.6 meters, Time: 213.5 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: -, Instruction: Turn right, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Keep right, Distance: 281.9 meters, Time: 202.9 seconds
Name: -, Instruction: Turn right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
