Name: Avenida Instituto Politécnico Nacional, Instruction: Head north on Avenida Instituto Politécnico Nacional, Distance: 231.2 meters, Time: 166.5 seconds
Name: Calle Poniente 116, Instruction: Turn right onto Calle Poniente 116, Distance: 358.8 meters, Time: 258.3 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn left onto Avenida Insurgentes Norte, Distance: 74.6 meters, Time: 53.7 seconds
Name: -, Instruction: Keep right, Distance: 73.1 meters, Time: 52.6 seconds
Name: -, Instruction: Turn slight left, Distance: 16.4 meters, Time: 11.8 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn slight right onto Avenida Insurgentes Norte, Distance: 129.7 meters, Time: 93.4 seconds
Name: -, Instruction: Turn right, Distance: 153.1 meters, Time: 110.3 seconds
Name: Avenida Insurgentes Norte, Instruction: Turn right onto Avenida Insurgentes Norte, Distance: 23.1 meters, Time: 16.6 seconds
Name: Calle Necaxa, Instruction: Turn sharp left onto Calle Necaxa, Distance: 869.5 meters, Time: 626.0 seconds
Name: -, Instruction: Turn left, Distance: 45.6 meters, Time: 32.9 seconds
Name: Calle Necaxa, Instruction: Turn left onto Calle Necaxa, Distance: 107.8 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 61.7 meters, Time: 44.4 seconds
Name: Avenida Tesoro, Instruction: Turn left onto Avenida Tesoro, Distance: 352.0 meters, Time: 253.4 seconds
Name: Calle Granate, Instruction: Turn right onto Calle Granate, Distance: 239.9 meters, Time: 172.7 seconds
Name: -, Instruction: Turn left, Distance: 15.9 meters, Time: 11.4 seconds
Name: -, Instruction: Turn right, Distance: 184.7 meters, Time: 133.0 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Turn left, Distance: 60.6 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 75.2 meters, Time: 54.1 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn slight right, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Turn left, Distance: 67.9 meters, Time: 48.9 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: Avenida Henry Ford, Instruction: Turn right onto Avenida Henry Ford, Distance: 62.9 meters, Time: 45.3 seconds
Name: Avenida Ferrocarril Hidalgo, Instruction: Turn left onto Avenida Ferrocarril Hidalgo, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Arrive at Avenida Ferrocarril Hidalgo, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
