Name: شارع حمزة بن عبد المطلب, Instruction: Head southeast on شارع حمزة بن عبد المطلب, Distance: 67.9 meters, Time: 48.9 seconds
Name: شارع عبدالله بن عمر, Instruction: Turn left onto شارع عبدالله بن عمر, Distance: 239.0 meters, Time: 172.1 seconds
Name: -, Instruction: Keep left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 91.5 meters, Time: 65.9 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 14.9 meters, Time: 10.8 seconds
Name: -, Instruction: Turn left, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: شارع طلعت مصطفى, Instruction: Turn right onto شارع طلعت مصطفى, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 206.5 meters, Time: 148.7 seconds
Name: -, Instruction: Turn slight right, Distance: 18.6 meters, Time: 13.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn left onto شارع طلعت مصطفى, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: شارع طلعت مصطفى, Instruction: Turn left onto شارع طلعت مصطفى, Distance: 128.1 meters, Time: 92.2 seconds
Name: -, Instruction: Keep right, Distance: 21.6 meters, Time: 15.5 seconds
Name: -, Instruction: Turn slight left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 17.7 meters, Time: 12.8 seconds
Name: شارع طلعت مصطفى, Instruction: Turn slight right onto شارع طلعت مصطفى, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Keep right, Distance: 57.5 meters, Time: 41.4 seconds
Name: شارع احمد بن حنبل, Instruction: Turn slight right onto شارع احمد بن حنبل, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn sharp left, Distance: 15.0 meters, Time: 10.8 seconds
Name: شارع احمد بن حنبل, Instruction: Turn right onto شارع احمد بن حنبل, Distance: 29.5 meters, Time: 21.2 seconds
Name: شارع احمد بن حنبل الجانبى, Instruction: Turn left onto شارع احمد بن حنبل الجانبى, Distance: 41.2 meters, Time: 29.7 seconds
Name: -, Instruction: Arrive at شارع احمد بن حنبل الجانبى, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
