Name: Jellicoe Road, Instruction: Head northeast on Jellicoe Road, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 73.1 meters, Time: 52.6 seconds
Name: Horne Road, Instruction: Turn right onto Horne Road, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 46.3 meters, Time: 33.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.1 meters, Time: 31.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 772.1 meters, Time: 555.9 seconds
Name: -, Instruction: Turn left, Distance: 60.0 meters, Time: 43.2 seconds
Name: -, Instruction: Turn left, Distance: 254.2 meters, Time: 183.0 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 17.2 meters, Time: 12.4 seconds
Name: Kallang Airport Drive, Instruction: Turn right onto Kallang Airport Drive, Distance: 6.9 meters, Time: 4.9 seconds
Name: -, Instruction: Arrive at Kallang Airport Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
