Name: Coulée Verte René-Dumont, Instruction: Head south on Coulée Verte René-Dumont, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Continue straight, Distance: 75.9 meters, Time: 54.6 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Turn slight right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 90.2 meters, Time: 65.0 seconds
Name: Ruelle de la Planchette, Instruction: Turn right onto Ruelle de la Planchette, Distance: 72.0 meters, Time: 51.9 seconds
Name: Rue du Charolais, Instruction: Turn left onto Rue du Charolais, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Keep left, Distance: 392.7 meters, Time: 282.7 seconds
Name: -, Instruction: Turn left, Distance: 124.6 meters, Time: 89.7 seconds
Name: -, Instruction: Keep left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn slight left, Distance: 16.8 meters, Time: 12.1 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 21.8 meters, Time: 15.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
