Name: Chin Bee Avenue, Instruction: Head east on Chin Bee Avenue, Distance: 187.2 meters, Time: 134.8 seconds
Name: Second Chin Bee Road, Instruction: Turn right onto Second Chin Bee Road, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn left, Distance: 175.7 meters, Time: 126.5 seconds
Name: -, Instruction: Turn slight right, Distance: 109.2 meters, Time: 78.6 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Third Chin Bee Road, Instruction: Turn right onto Third Chin Bee Road, Distance: 189.2 meters, Time: 136.2 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 147.5 meters, Time: 106.2 seconds
Name: -, Instruction: Turn left, Distance: 104.2 meters, Time: 75.0 seconds
Name: -, Instruction: Turn right, Distance: 372.2 meters, Time: 268.0 seconds
Name: Jalan Tukang, Instruction: Turn left onto Jalan Tukang, Distance: 100.5 meters, Time: 72.4 seconds
Name: Jalan Tukang, Instruction: Keep right onto Jalan Tukang, Distance: 55.6 meters, Time: 40.1 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 82.7 meters, Time: 59.6 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: Corporation Road, Instruction: Turn right onto Corporation Road, Distance: 116.1 meters, Time: 83.6 seconds
Name: -, Instruction: Arrive at Corporation Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
