Name: ふれあいロード, Instruction: Head north on ふれあいロード, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn left, Distance: 142.6 meters, Time: 102.6 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 936.3 meters, Time: 674.1 seconds
Name: -, Instruction: Turn slight right, Distance: 12.6 meters, Time: 9.0 seconds
Name: -, Instruction: Keep left, Distance: 31.2 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 101.7 meters, Time: 73.2 seconds
Name: -, Instruction: Keep left, Distance: 102.1 meters, Time: 73.5 seconds
Name: -, Instruction: Turn right, Distance: 26.1 meters, Time: 18.8 seconds
Name: -, Instruction: Continue straight, Distance: 55.1 meters, Time: 39.6 seconds
Name: -, Instruction: Turn left, Distance: 453.4 meters, Time: 326.4 seconds
Name: -, Instruction: Turn right, Distance: 101.0 meters, Time: 72.7 seconds
Name: -, Instruction: Keep right, Distance: 70.4 meters, Time: 50.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
