Name: Athlone Road, Instruction: Head south on Athlone Road, Distance: 194.5 meters, Time: 140.1 seconds
Name: -, Instruction: Turn right, Distance: 82.8 meters, Time: 59.6 seconds
Name: -, Instruction: Keep left, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 220.9 meters, Time: 159.1 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn left, Distance: 680.8 meters, Time: 490.2 seconds
Name: -, Instruction: Turn left, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Turn right, Distance: 89.8 meters, Time: 64.6 seconds
Name: -, Instruction: Turn slight left, Distance: 103.4 meters, Time: 74.5 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Continue straight, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
