Name: Megalong Street, Instruction: Head west on Megalong Street, Distance: 534.9 meters, Time: 385.1 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 108.2 meters, Time: 77.9 seconds
Name: Lovel Street, Instruction: Turn right onto Lovel Street, Distance: 2.5 meters, Time: 1.8 seconds
Name: York Street, Instruction: Turn left onto York Street, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 238.1 meters, Time: 171.4 seconds
Name: -, Instruction: Keep right, Distance: 129.1 meters, Time: 93.0 seconds
Name: -, Instruction: Keep left, Distance: 140.2 meters, Time: 100.9 seconds
Name: -, Instruction: Turn right, Distance: 64.8 meters, Time: 46.7 seconds
Name: -, Instruction: Turn right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn right, Distance: 49.4 meters, Time: 35.5 seconds
Name: -, Instruction: Turn right, Distance: 26.6 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 89.8 meters, Time: 64.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
