Name: Hulme Place, Instruction: Head southeast on Hulme Place, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 170.5 meters, Time: 122.7 seconds
Name: -, Instruction: Turn left, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 709.2 meters, Time: 510.6 seconds
Name: London Bridge Walk, Instruction: Turn left onto London Bridge Walk, Distance: 11.5 meters, Time: 8.3 seconds
Name: London Bridge Walk, Instruction: Turn slight right onto London Bridge Walk, Distance: 527.8 meters, Time: 380.0 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 111.2 meters, Time: 80.1 seconds
Name: Philpot Lane, Instruction: Turn left onto Philpot Lane, Distance: 106.8 meters, Time: 76.9 seconds
Name: Fenchurch Street, Instruction: Turn right onto Fenchurch Street, Distance: 5.9 meters, Time: 4.3 seconds
Name: Lime Street, Instruction: Turn left onto Lime Street, Distance: 54.1 meters, Time: 38.9 seconds
Name: Lime Street Passage, Instruction: Turn left onto Lime Street Passage, Distance: 51.9 meters, Time: 37.4 seconds
Name: -, Instruction: Arrive at Lime Street Passage, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
