Name: Rue Lemercier, Instruction: Head northwest on Rue Lemercier, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.3 seconds
Name: -, Instruction: Turn left, Distance: 276.5 meters, Time: 199.1 seconds
Name: -, Instruction: Turn right, Distance: 8.9 meters, Time: 6.4 seconds
Name: Avenue de Clichy, Instruction: Turn left onto Avenue de Clichy, Distance: 480.9 meters, Time: 346.3 seconds
Name: Rue Gauthey, Instruction: Turn right onto Rue Gauthey, Distance: 8.4 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 49.8 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 78.5 meters, Time: 56.5 seconds
Name: -, Instruction: Turn left, Distance: 85.2 meters, Time: 61.4 seconds
Name: -, Instruction: Keep left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Turn slight left, Distance: 31.6 meters, Time: 22.7 seconds
Name: -, Instruction: Turn left, Distance: 51.6 meters, Time: 37.1 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: Passage Petit Cerf, Instruction: Turn left onto Passage Petit Cerf, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at Passage Petit Cerf, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
