Name: Meglingerstraße, Instruction: Head northwest on Meglingerstraße, Distance: 57.8 meters, Time: 41.6 seconds
Name: Munckerstraße, Instruction: Turn left onto Munckerstraße, Distance: 152.7 meters, Time: 110.0 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 215.6 meters, Time: 155.2 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 86.0 meters, Time: 61.9 seconds
Name: -, Instruction: Turn left, Distance: 78.6 meters, Time: 56.6 seconds
Name: -, Instruction: Turn right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Turn left, Distance: 250.1 meters, Time: 180.0 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: Züricher Straße, Instruction: Turn left onto Züricher Straße, Distance: 391.7 meters, Time: 282.0 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 94.7 meters, Time: 68.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
