Name: Craigavon Way, Instruction: Head northwest on Craigavon Way, Distance: 45.3 meters, Time: 32.6 seconds
Name: Kevin Street, Instruction: Turn left onto Kevin Street, Distance: 83.7 meters, Time: 60.3 seconds
Name: -, Instruction: Turn left, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: Tanderagee Street, Instruction: Turn left onto Tanderagee Street, Distance: 98.3 meters, Time: 70.7 seconds
Name: Ferndale Close, Instruction: Turn right onto Ferndale Close, Distance: 27.0 meters, Time: 19.5 seconds
Name: -, Instruction: Turn left, Distance: 101.7 meters, Time: 73.2 seconds
Name: Michelle Drive, Instruction: Turn right onto Michelle Drive, Distance: 271.0 meters, Time: 195.1 seconds
Name: Constitution Road, Instruction: Turn right onto Constitution Road, Distance: 141.3 meters, Time: 101.7 seconds
Name: Emma Crescent, Instruction: Turn left onto Emma Crescent, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.7 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: Hollis Street, Instruction: Turn left onto Hollis Street, Distance: 90.4 meters, Time: 65.1 seconds
Name: Bulli Road, Instruction: Turn right onto Bulli Road, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 9.4 meters, Time: 6.8 seconds
Name: -, Instruction: Turn right, Distance: 190.2 meters, Time: 136.9 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 11.9 seconds
Name: -, Instruction: Turn slight right, Distance: 88.1 meters, Time: 63.4 seconds
Name: Tabooba Street, Instruction: Turn left onto Tabooba Street, Distance: 231.3 meters, Time: 166.5 seconds
Name: -, Instruction: Turn left, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Turn right, Distance: 234.2 meters, Time: 168.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
