Name: Woodbridge Street, Instruction: Head south on Woodbridge Street, Distance: 153.6 meters, Time: 110.6 seconds
Name: Suters Avenue, Instruction: Turn left onto Suters Avenue, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn right, Distance: 374.3 meters, Time: 269.5 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: Elara Boulevard shared path, Instruction: Turn left onto Elara Boulevard shared path, Distance: 23.6 meters, Time: 17.0 seconds
Name: -, Instruction: Continue straight, Distance: 158.0 meters, Time: 113.8 seconds
Name: -, Instruction: Turn left, Distance: 314.5 meters, Time: 226.4 seconds
Name: -, Instruction: Turn left, Distance: 161.7 meters, Time: 116.5 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.7 seconds
Name: -, Instruction: Turn slight right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
