Name: Friedenheimer Brücke, Instruction: Head south on Friedenheimer Brücke, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 48.0 meters, Time: 34.6 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Continue straight, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Continue straight, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Continue straight, Distance: 3.4 meters, Time: 2.4 seconds
Name: -, Instruction: Continue straight, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Continue straight, Distance: 62.7 meters, Time: 45.1 seconds
Name: -, Instruction: Turn left, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Continue straight, Distance: 152.0 meters, Time: 109.4 seconds
Name: -, Instruction: Turn left, Distance: 163.9 meters, Time: 118.0 seconds
Name: -, Instruction: Turn right, Distance: 33.0 meters, Time: 23.7 seconds
Name: -, Instruction: Keep left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 35.0 meters, Time: 25.2 seconds
Name: -, Instruction: Turn right, Distance: 97.6 meters, Time: 70.3 seconds
Name: -, Instruction: Turn left, Distance: 89.5 meters, Time: 64.4 seconds
Name: Arnulfstraße, Instruction: Turn right onto Arnulfstraße, Distance: 7.2 meters, Time: 5.2 seconds
Name: Schäringerstraße, Instruction: Turn left onto Schäringerstraße, Distance: 30.1 meters, Time: 21.7 seconds
Name: -, Instruction: Turn right, Distance: 117.3 meters, Time: 84.5 seconds
Name: Renatastraße, Instruction: Turn left onto Renatastraße, Distance: 67.1 meters, Time: 48.3 seconds
Name: Hirschbergstraße, Instruction: Turn right onto Hirschbergstraße, Distance: 12.4 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 60.5 meters, Time: 43.6 seconds
Name: -, Instruction: Turn right, Distance: 16.0 meters, Time: 11.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
