Name: Richmond Street, Instruction: Head west on Richmond Street, Distance: 74.5 meters, Time: 53.6 seconds
Name: Princess Margaret Street, Instruction: Turn left onto Princess Margaret Street, Distance: 124.7 meters, Time: 89.8 seconds
Name: Biggar Street, Instruction: Turn right onto Biggar Street, Distance: 71.9 meters, Time: 51.8 seconds
Name: Grens Street, Instruction: Turn left onto Grens Street, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Keep right, Distance: 46.5 meters, Time: 33.4 seconds
Name: Showground Avenue, Instruction: Turn slight left onto Showground Avenue, Distance: 288.9 meters, Time: 208.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep right, Distance: 68.5 meters, Time: 49.3 seconds
Name: Showground Avenue, Instruction: Turn left onto Showground Avenue, Distance: 35.4 meters, Time: 25.5 seconds
Name: Bofors Circle, Instruction: Turn right onto Bofors Circle, Distance: 519.2 meters, Time: 373.8 seconds
Name: -, Instruction: Turn left, Distance: 199.8 meters, Time: 143.9 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.4 seconds
Name: Bofors Circle, Instruction: Turn left onto Bofors Circle, Distance: 356.9 meters, Time: 257.0 seconds
Name: -, Instruction: Arrive at Bofors Circle, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
