Name: Calle Coapa, Instruction: Head east on Calle Coapa, Distance: 116.7 meters, Time: 84.0 seconds
Name: Calle Moctezuma, Instruction: Turn right onto Calle Moctezuma, Distance: 119.6 meters, Time: 86.1 seconds
Name: Avenida San Fernando, Instruction: Turn right onto Avenida San Fernando, Distance: 17.7 meters, Time: 12.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 186.1 meters, Time: 134.0 seconds
Name: Calle Ignacio Allende, Instruction: Turn left onto Calle Ignacio Allende, Distance: 6.7 meters, Time: 4.8 seconds
Name: Calle Benito Juárez, Instruction: Turn right onto Calle Benito Juárez, Distance: 168.8 meters, Time: 121.5 seconds
Name: Calle Moneda, Instruction: Turn left onto Calle Moneda, Distance: 159.2 meters, Time: 114.6 seconds
Name: -, Instruction: Turn right, Distance: 19.0 meters, Time: 13.6 seconds
Name: -, Instruction: Keep left, Distance: 24.0 meters, Time: 17.3 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn slight right, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
