Name: Augsburger Straße, Instruction: Head east on Augsburger Straße, Distance: 69.6 meters, Time: 50.1 seconds
Name: -, Instruction: Turn right, Distance: 22.0 meters, Time: 15.8 seconds
Name: -, Instruction: Turn left, Distance: 95.3 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn left, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Turn left, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Turn left, Distance: 357.2 meters, Time: 257.2 seconds
Name: -, Instruction: Continue straight, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Continue straight, Distance: 237.4 meters, Time: 170.9 seconds
Name: Birnbaumsteig, Instruction: Turn left onto Birnbaumsteig, Distance: 149.0 meters, Time: 107.3 seconds
Name: Birnbaumsteigweg, Instruction: Keep left onto Birnbaumsteigweg, Distance: 511.8 meters, Time: 368.5 seconds
Name: Wotanstraße, Instruction: Turn right onto Wotanstraße, Distance: 35.9 meters, Time: 25.9 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
