Name: Mary Ann Shadd Lane, Instruction: Head east on Mary Ann Shadd Lane, Distance: 3.8 meters, Time: 2.7 seconds
Name: Munro Street, Instruction: Turn right onto Munro Street, Distance: 140.3 meters, Time: 101.0 seconds
Name: -, Instruction: Turn left, Distance: 31.5 meters, Time: 22.7 seconds
Name: Peggy Ann Smith Lane, Instruction: Turn right onto Peggy Ann Smith Lane, Distance: 3.6 meters, Time: 2.6 seconds
Name: Kintyre Avenue, Instruction: Turn left onto Kintyre Avenue, Distance: 22.9 meters, Time: 16.5 seconds
Name: Hamilton Street, Instruction: Turn right onto Hamilton Street, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: Thompson Street, Instruction: Turn left onto Thompson Street, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 73.0 meters, Time: 52.6 seconds
Name: -, Instruction: Turn left, Distance: 405.4 meters, Time: 291.9 seconds
Name: -, Instruction: Keep right, Distance: 615.0 meters, Time: 442.8 seconds
Name: -, Instruction: Turn right, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 590.5 meters, Time: 425.2 seconds
Name: -, Instruction: Turn right, Distance: 69.5 meters, Time: 50.0 seconds
Name: -, Instruction: Turn left, Distance: 32.9 meters, Time: 23.7 seconds
Name: -, Instruction: Turn right, Distance: 252.9 meters, Time: 182.1 seconds
Name: -, Instruction: Turn left, Distance: 56.3 meters, Time: 40.5 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
