Name: Melbourne Place, Instruction: Head south on Melbourne Place, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Turn right, Distance: 240.6 meters, Time: 173.2 seconds
Name: -, Instruction: Turn right, Distance: 22.3 meters, Time: 16.0 seconds
Name: -, Instruction: Turn left, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 16.9 meters, Time: 12.2 seconds
Name: -, Instruction: Turn slight left, Distance: 78.2 meters, Time: 56.3 seconds
Name: -, Instruction: Turn left, Distance: 177.6 meters, Time: 127.9 seconds
Name: Strand, Instruction: Turn slight left onto Strand, Distance: 434.9 meters, Time: 313.1 seconds
Name: -, Instruction: Keep right, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.4 seconds
Name: Trafalgar Square, Instruction: Turn right onto Trafalgar Square, Distance: 119.4 meters, Time: 86.0 seconds
Name: -, Instruction: Keep right, Distance: 15.0 meters, Time: 10.8 seconds
Name: -, Instruction: Keep right, Distance: 21.3 meters, Time: 15.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
