Name: Praça do Repentista, Instruction: Head southeast on Praça do Repentista, Distance: 16.7 meters, Time: 12.0 seconds
Name: Avenida Rio Grande do Norte, Instruction: Turn right onto Avenida Rio Grande do Norte, Distance: 124.9 meters, Time: 90.0 seconds
Name: Campo de São Cristóvão, Instruction: Turn left onto Campo de São Cristóvão, Distance: 35.9 meters, Time: 25.8 seconds
Name: Rua Figueira de Melo, Instruction: Keep right onto Rua Figueira de Melo, Distance: 40.3 meters, Time: 29.0 seconds
Name: Campo de São Cristóvão, Instruction: Keep left onto Campo de São Cristóvão, Distance: 135.6 meters, Time: 97.6 seconds
Name: Rua Santos Lima, Instruction: Continue straight onto Rua Santos Lima, Distance: 312.3 meters, Time: 224.9 seconds
Name: Rua Santos Lima, Instruction: Turn slight left onto Rua Santos Lima, Distance: 9.7 meters, Time: 7.0 seconds
Name: Rua Santos Lima, Instruction: Turn right onto Rua Santos Lima, Distance: 56.1 meters, Time: 40.4 seconds
Name: Avenida Brasil, Instruction: Turn right onto Avenida Brasil, Distance: 713.5 meters, Time: 513.7 seconds
Name: -, Instruction: Turn left, Distance: 64.5 meters, Time: 46.4 seconds
Name: -, Instruction: Keep left, Distance: 26.7 meters, Time: 19.2 seconds
Name: Avenida Francisco Bicalho, Instruction: Turn right onto Avenida Francisco Bicalho, Distance: 3.2 meters, Time: 2.3 seconds
Name: -, Instruction: Turn left, Distance: 133.5 meters, Time: 96.1 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
