Name: 上高田本通り, Instruction: Head east on 上高田本通り, Distance: 89.6 meters, Time: 64.5 seconds
Name: -, Instruction: Turn right, Distance: 58.1 meters, Time: 41.9 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn right, Distance: 193.8 meters, Time: 139.5 seconds
Name: -, Instruction: Turn right, Distance: 1.2 meters, Time: 0.9 seconds
Name: -, Instruction: Turn left, Distance: 272.3 meters, Time: 196.0 seconds
Name: -, Instruction: Turn left, Distance: 141.4 meters, Time: 101.8 seconds
Name: -, Instruction: Turn slight right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.0 meters, Time: 28.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 31.6 meters, Time: 22.8 seconds
Name: -, Instruction: Turn right, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
