Name: Roebuck Crescent, Instruction: Head southeast on Roebuck Crescent, Distance: 225.9 meters, Time: 162.7 seconds
Name: -, Instruction: Turn sharp left, Distance: 84.1 meters, Time: 60.6 seconds
Name: Captian Cook Drive, Instruction: Turn right onto Captian Cook Drive, Distance: 54.4 meters, Time: 39.2 seconds
Name: Captain Cook Drive, Instruction: Turn left onto Captain Cook Drive, Distance: 26.2 meters, Time: 18.9 seconds
Name: Resolution Avenue, Instruction: Turn right onto Resolution Avenue, Distance: 100.2 meters, Time: 72.2 seconds
Name: -, Instruction: Turn right, Distance: 49.5 meters, Time: 35.7 seconds
Name: -, Instruction: Turn left, Distance: 312.8 meters, Time: 225.2 seconds
Name: -, Instruction: Turn right, Distance: 90.6 meters, Time: 65.3 seconds
Name: Koomooloo Crescent, Instruction: Turn right onto Koomooloo Crescent, Distance: 6.2 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 116.5 meters, Time: 83.9 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Piccolo Way, Instruction: Turn left onto Piccolo Way, Distance: 177.1 meters, Time: 127.5 seconds
Name: Piccolo Way, Instruction: Turn left onto Piccolo Way, Distance: 118.2 meters, Time: 85.1 seconds
Name: Sedgman Crescent, Instruction: Turn right onto Sedgman Crescent, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 145.6 meters, Time: 104.8 seconds
Name: -, Instruction: Turn right, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 174.6 meters, Time: 125.7 seconds
Name: Noumea Street, Instruction: Turn right onto Noumea Street, Distance: 140.8 meters, Time: 101.4 seconds
Name: Fleetwood Street, Instruction: Turn left onto Fleetwood Street, Distance: 222.5 meters, Time: 160.2 seconds
Name: -, Instruction: Arrive at Fleetwood Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
