Name: Denison Avenue, Instruction: Head north on Denison Avenue, Distance: 2.0 meters, Time: 1.4 seconds
Name: Carr Street Court, Instruction: Turn left onto Carr Street Court, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 43.5 meters, Time: 31.3 seconds
Name: -, Instruction: Turn left, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 3.0 seconds
Name: Ryerson Avenue, Instruction: Turn right onto Ryerson Avenue, Distance: 34.2 meters, Time: 24.7 seconds
Name: -, Instruction: Turn left, Distance: 126.7 meters, Time: 91.2 seconds
Name: -, Instruction: Keep right, Distance: 86.8 meters, Time: 62.5 seconds
Name: -, Instruction: Turn right, Distance: 44.8 meters, Time: 32.3 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Turn right, Distance: 108.1 meters, Time: 77.9 seconds
Name: -, Instruction: Turn slight left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn left, Distance: 403.1 meters, Time: 290.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
