Name: Tusculum Road, Instruction: Head west on Tusculum Road, Distance: 8.8 meters, Time: 6.3 seconds
Name: Currawong Avenue, Instruction: Turn left onto Currawong Avenue, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 573.3 meters, Time: 412.8 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 381.5 meters, Time: 274.7 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 171.8 meters, Time: 123.7 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 119.7 meters, Time: 86.2 seconds
Name: George Street, Instruction: Turn right onto George Street, Distance: 152.0 meters, Time: 109.4 seconds
Name: Holland Street, Instruction: Turn left onto Holland Street, Distance: 137.5 meters, Time: 99.0 seconds
Name: Bland Road, Instruction: Turn right onto Bland Road, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at Bland Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
