Name: Boundary Lane, Instruction: Head west on Boundary Lane, Distance: 140.3 meters, Time: 101.0 seconds
Name: Cumberland Street, Instruction: Turn right onto Cumberland Street, Distance: 69.0 meters, Time: 49.7 seconds
Name: Cumberland Street, Instruction: Enter the roundabout and take the 1st exit onto Cumberland Street, Distance: 745.6 meters, Time: 536.8 seconds
Name: -, Instruction: Turn right, Distance: 73.8 meters, Time: 53.1 seconds
Name: -, Instruction: Turn right, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: Broomfield Street, Instruction: Turn right onto Broomfield Street, Distance: 38.7 meters, Time: 27.8 seconds
Name: Broomfield Street, Instruction: Keep left onto Broomfield Street, Distance: 67.4 meters, Time: 48.5 seconds
Name: Bareena Street, Instruction: Enter the roundabout and take the 1st exit onto Bareena Street, Distance: 39.8 meters, Time: 28.7 seconds
Name: Bareena Street, Instruction: Keep right onto Bareena Street, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: Parramatta to Liverpool Rail Trail, Instruction: Turn left onto Parramatta to Liverpool Rail Trail, Distance: 21.4 meters, Time: 15.4 seconds
Name: First Avenue, Instruction: Turn right onto First Avenue, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at First Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
