Name: Petit Lane, Instruction: Head northwest on Petit Lane, Distance: 70.0 meters, Time: 50.4 seconds
Name: -, Instruction: Turn right, Distance: 10.5 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 327.3 meters, Time: 235.7 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 186.2 meters, Time: 134.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.3 meters, Time: 3.8 seconds
Name: -, Instruction: Turn slight left, Distance: 8.0 meters, Time: 5.8 seconds
Name: Te Taruna Drive, Instruction: Turn left onto Te Taruna Drive, Distance: 3.9 meters, Time: 2.8 seconds
Name: Dendro Ring Road, Instruction: Enter the roundabout and take the 1st exit onto Dendro Ring Road, Distance: 86.6 meters, Time: 62.3 seconds
Name: Pāpākiri Road, Instruction: Turn left onto Pāpākiri Road, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn left, Distance: 357.7 meters, Time: 257.5 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
