Name: Heath Street West, Instruction: Head west on Heath Street West, Distance: 129.3 meters, Time: 93.1 seconds
Name: Dunvegan Road, Instruction: Turn left onto Dunvegan Road, Distance: 226.4 meters, Time: 163.0 seconds
Name: -, Instruction: Turn right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn left, Distance: 26.0 meters, Time: 18.7 seconds
Name: -, Instruction: Turn left, Distance: 104.4 meters, Time: 75.2 seconds
Name: -, Instruction: Turn right, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 4.0 meters, Time: 2.9 seconds
Name: Poplar Plains Road, Instruction: Turn right onto Poplar Plains Road, Distance: 902.7 meters, Time: 649.9 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 118.8 meters, Time: 85.5 seconds
Name: -, Instruction: Keep right, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 108.2 meters, Time: 77.9 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: Davenport Road, Instruction: Turn left onto Davenport Road, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 70.5 meters, Time: 50.7 seconds
Name: -, Instruction: Turn left, Distance: 79.7 meters, Time: 57.4 seconds
Name: -, Instruction: Turn slight right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
