Name: Kreuzbichlweg, Instruction: Head south on Kreuzbichlweg, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 321.4 meters, Time: 231.4 seconds
Name: -, Instruction: Keep right, Distance: 26.6 meters, Time: 19.2 seconds
Name: Balanstraße, Instruction: Continue straight onto Balanstraße, Distance: 347.1 meters, Time: 249.9 seconds
Name: -, Instruction: Turn right, Distance: 955.4 meters, Time: 687.9 seconds
Name: -, Instruction: Turn left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Continue straight, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Continue straight, Distance: 120.2 meters, Time: 86.5 seconds
Name: Scherbaumstraße, Instruction: Turn left onto Scherbaumstraße, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 222.9 meters, Time: 160.5 seconds
Name: -, Instruction: Turn right, Distance: 22.1 meters, Time: 15.9 seconds
Name: -, Instruction: Turn right, Distance: 22.2 meters, Time: 16.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
