Name: Wilbrechtstraße, Instruction: Head west on Wilbrechtstraße, Distance: 165.7 meters, Time: 119.3 seconds
Name: Spindlerstraße, Instruction: Turn right onto Spindlerstraße, Distance: 210.6 meters, Time: 151.7 seconds
Name: Reismühlenstraße, Instruction: Turn left onto Reismühlenstraße, Distance: 39.7 meters, Time: 28.6 seconds
Name: Spindlerplatz, Instruction: Turn right onto Spindlerplatz, Distance: 480.2 meters, Time: 345.8 seconds
Name: Rohrauerstraße, Instruction: Turn left onto Rohrauerstraße, Distance: 42.6 meters, Time: 30.7 seconds
Name: Arnrieder Straße, Instruction: Turn right onto Arnrieder Straße, Distance: 152.4 meters, Time: 109.7 seconds
Name: Kerschlacher Straße, Instruction: Turn right onto Kerschlacher Straße, Distance: 171.9 meters, Time: 123.7 seconds
Name: -, Instruction: Turn left, Distance: 158.7 meters, Time: 114.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 13.9 meters, Time: 10.0 seconds
Name: -, Instruction: Turn slight left, Distance: 236.8 meters, Time: 170.5 seconds
Name: -, Instruction: Turn left, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 39.7 meters, Time: 28.6 seconds
Name: -, Instruction: Turn right, Distance: 220.6 meters, Time: 158.9 seconds
Name: -, Instruction: Turn slight left, Distance: 20.9 meters, Time: 15.0 seconds
Name: Weißkirchner Straße, Instruction: Turn left onto Weißkirchner Straße, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at Weißkirchner Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
