Name: Rua Ernesto Nazareth, Instruction: Head east on Rua Ernesto Nazareth, Distance: 257.1 meters, Time: 185.1 seconds
Name: Rua Jorge Rudge, Instruction: Turn left onto Rua Jorge Rudge, Distance: 725.4 meters, Time: 522.3 seconds
Name: Boulevard 28 de Setembro, Instruction: Turn left onto Boulevard 28 de Setembro, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 9.6 meters, Time: 6.9 seconds
Name: Boulevard 28 de Setembro, Instruction: Turn left onto Boulevard 28 de Setembro, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 107.7 meters, Time: 77.6 seconds
Name: -, Instruction: Turn left, Distance: 107.6 meters, Time: 77.5 seconds
Name: Rua Felipe Camarão, Instruction: Turn right onto Rua Felipe Camarão, Distance: 166.5 meters, Time: 119.9 seconds
Name: Rua Dona Zulmira, Instruction: Turn right onto Rua Dona Zulmira, Distance: 214.8 meters, Time: 154.7 seconds
Name: Rua Almirante João Cândido Brasil, Instruction: Turn left onto Rua Almirante João Cândido Brasil, Distance: 104.0 meters, Time: 74.9 seconds
Name: Rua Dona Maria, Instruction: Turn right onto Rua Dona Maria, Distance: 156.1 meters, Time: 112.4 seconds
Name: Rua Ribeiro Guimarães, Instruction: Turn left onto Rua Ribeiro Guimarães, Distance: 301.2 meters, Time: 216.9 seconds
Name: -, Instruction: Turn right, Distance: 76.3 meters, Time: 54.9 seconds
Name: -, Instruction: Turn right, Distance: 135.5 meters, Time: 97.6 seconds
Name: -, Instruction: Turn right, Distance: 72.9 meters, Time: 52.5 seconds
Name: -, Instruction: Turn right, Distance: 10.8 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
