Name: Pringle Road, Instruction: Head northwest on Pringle Road, Distance: 125.3 meters, Time: 90.2 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 13.4 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.3 seconds
Name: -, Instruction: Turn right, Distance: 136.4 meters, Time: 98.2 seconds
Name: -, Instruction: Turn left, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 73.4 meters, Time: 52.9 seconds
Name: -, Instruction: Turn right, Distance: 5.9 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
