Name: Nassau Street, Instruction: Head north on Nassau Street, Distance: 103.6 meters, Time: 74.6 seconds
Name: Oranje Avenue, Instruction: Turn left onto Oranje Avenue, Distance: 312.3 meters, Time: 224.8 seconds
Name: Alice Street, Instruction: Turn left onto Alice Street, Distance: 57.4 meters, Time: 41.3 seconds
Name: Orchid Road, Instruction: Turn right onto Orchid Road, Distance: 75.6 meters, Time: 54.4 seconds
Name: Heath Street, Instruction: Turn right onto Heath Street, Distance: 75.5 meters, Time: 54.4 seconds
Name: Zinnia Street, Instruction: Turn left onto Zinnia Street, Distance: 597.3 meters, Time: 430.0 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 276.9 meters, Time: 199.4 seconds
Name: -, Instruction: Turn left, Distance: 110.0 meters, Time: 79.2 seconds
Name: -, Instruction: Keep left, Distance: 224.2 meters, Time: 161.4 seconds
Name: Townsend Street, Instruction: Turn slight left onto Townsend Street, Distance: 253.8 meters, Time: 182.7 seconds
Name: -, Instruction: Turn left, Distance: 119.8 meters, Time: 86.2 seconds
Name: Myrtle Street, Instruction: Turn left onto Myrtle Street, Distance: 212.6 meters, Time: 153.1 seconds
Name: -, Instruction: Turn right, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Turn left, Distance: 28.3 meters, Time: 20.4 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
