Name: Montclair Avenue, Instruction: Head east on Montclair Avenue, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 96.1 meters, Time: 69.2 seconds
Name: -, Instruction: Turn slight right, Distance: 256.1 meters, Time: 184.4 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.8 seconds
Name: Lonsdale Road, Instruction: Turn right onto Lonsdale Road, Distance: 147.1 meters, Time: 105.9 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Turn left, Distance: 212.8 meters, Time: 153.2 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 5.7 meters, Time: 4.1 seconds
Name: Frybrook Road, Instruction: Turn right onto Frybrook Road, Distance: 117.1 meters, Time: 84.3 seconds
Name: -, Instruction: Turn slight left, Distance: 391.4 meters, Time: 281.8 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
