Name: Orchard Road, Instruction: Head north on Orchard Road, Distance: 91.1 meters, Time: 65.6 seconds
Name: Seldon Lane, Instruction: Turn sharp left onto Seldon Lane, Distance: 7.8 meters, Time: 5.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 61.6 meters, Time: 44.4 seconds
Name: -, Instruction: Continue straight, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Continue straight, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Turn right, Distance: 76.9 meters, Time: 55.4 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: Victor Street, Instruction: Turn left onto Victor Street, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Turn right, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: Tingha Pathway, Instruction: Turn right onto Tingha Pathway, Distance: 81.6 meters, Time: 58.8 seconds
Name: -, Instruction: Turn left, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 6.4 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 8.8 meters, Time: 6.3 seconds
Name: -, Instruction: Keep right, Distance: 139.5 meters, Time: 100.5 seconds
Name: -, Instruction: Turn right, Distance: 386.4 meters, Time: 278.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 172.5 meters, Time: 124.2 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 199.5 meters, Time: 143.6 seconds
Name: -, Instruction: Turn left, Distance: 36.9 meters, Time: 26.6 seconds
Name: -, Instruction: Keep right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Keep right, Distance: 159.6 meters, Time: 114.9 seconds
Name: -, Instruction: Turn right, Distance: 219.5 meters, Time: 158.1 seconds
Name: -, Instruction: Turn left, Distance: 64.9 meters, Time: 46.7 seconds
Name: Terminus Lane, Instruction: Turn right onto Terminus Lane, Distance: 9.8 meters, Time: 7.1 seconds
Name: Penshurst Street, Instruction: Turn left onto Penshurst Street, Distance: 36.2 meters, Time: 26.1 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: Peebles Lane, Instruction: Turn left onto Peebles Lane, Distance: 103.3 meters, Time: 74.4 seconds
Name: Haig Street, Instruction: Turn right onto Haig Street, Distance: 134.8 meters, Time: 97.1 seconds
Name: Douglas Avenue, Instruction: Turn left onto Douglas Avenue, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Arrive at Douglas Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
