Name: Rue Paul Constans, Instruction: Head southwest on Rue Paul Constans, Distance: 78.0 meters, Time: 56.2 seconds
Name: -, Instruction: Turn right, Distance: 14.0 meters, Time: 10.1 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: Avenue André Morizet, D 50, Instruction: Turn right onto Avenue André Morizet, D 50, Distance: 12.5 meters, Time: 9.0 seconds
Name: Rue Paul Bert, Instruction: Turn left onto Rue Paul Bert, Distance: 194.7 meters, Time: 140.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 155.7 meters, Time: 112.1 seconds
Name: -, Instruction: Turn right, Distance: 155.2 meters, Time: 111.7 seconds
Name: -, Instruction: Turn slight left, Distance: 6.1 meters, Time: 4.4 seconds
Name: Rue de Billancourt, Instruction: Turn left onto Rue de Billancourt, Distance: 214.0 meters, Time: 154.1 seconds
Name: Rue du Vieux Pont de Sèvres, Instruction: Turn right onto Rue du Vieux Pont de Sèvres, Distance: 198.9 meters, Time: 143.2 seconds
Name: -, Instruction: Turn left, Distance: 41.3 meters, Time: 29.8 seconds
Name: Cours de l'Île Seguin, Instruction: Continue straight onto Cours de l'Île Seguin, Distance: 245.7 meters, Time: 176.9 seconds
Name: -, Instruction: Turn left, Distance: 54.7 meters, Time: 39.4 seconds
Name: Cours de l'Île Seguin, Instruction: Turn slight right onto Cours de l'Île Seguin, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 228.0 meters, Time: 164.1 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 111.5 meters, Time: 80.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
