Name: Cour du Commerce Saint-André, Instruction: Head north on Cour du Commerce Saint-André, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 2.5 meters, Time: 1.8 seconds
Name: -, Instruction: Turn left, Distance: 63.1 meters, Time: 45.4 seconds
Name: -, Instruction: Turn slight right, Distance: 8.0 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn slight right, Distance: 92.8 meters, Time: 66.8 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight right, Distance: 68.5 meters, Time: 49.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 22.9 meters, Time: 16.5 seconds
Name: -, Instruction: Turn slight left, Distance: 90.3 meters, Time: 65.0 seconds
Name: -, Instruction: Keep left, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Keep left, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Turn left, Distance: 140.9 meters, Time: 101.5 seconds
Name: -, Instruction: Turn slight right, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Keep left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.5 seconds
Name: -, Instruction: Turn left, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 45.4 meters, Time: 32.7 seconds
Name: Accès Parking Rivoli - Pont Neuf, Instruction: Keep left onto Accès Parking Rivoli - Pont Neuf, Distance: 5.4 meters, Time: 3.9 seconds
Name: Rue du Pont Neuf, Instruction: Turn slight right onto Rue du Pont Neuf, Distance: 248.3 meters, Time: 178.7 seconds
Name: Place Maurice Quentin, Instruction: Turn right onto Place Maurice Quentin, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Continue straight, Distance: 19.6 meters, Time: 14.1 seconds
Name: Allée Blaise-Cendrars, Instruction: Turn left onto Allée Blaise-Cendrars, Distance: 13.9 meters, Time: 10.0 seconds
Name: Allée André-Breton, Instruction: Turn right onto Allée André-Breton, Distance: 134.6 meters, Time: 96.9 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 10.0 meters, Time: 7.2 seconds
Name: Rue de Turbigo, Instruction: Turn right onto Rue de Turbigo, Distance: 36.4 meters, Time: 26.2 seconds
Name: Rue de Turbigo, Instruction: Continue straight onto Rue de Turbigo, Distance: 1.7 meters, Time: 1.2 seconds
Name: Rue de Turbigo, Instruction: Turn slight right onto Rue de Turbigo, Distance: 137.4 meters, Time: 98.9 seconds
Name: Rue de Turbigo, Instruction: Continue straight onto Rue de Turbigo, Distance: 58.3 meters, Time: 42.0 seconds
Name: -, Instruction: Turn right, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Keep left, Distance: 31.4 meters, Time: 22.6 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn right, Distance: 55.4 meters, Time: 39.9 seconds
Name: Rue Saint-Denis, Instruction: Turn left onto Rue Saint-Denis, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 85.9 meters, Time: 61.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 23.2 meters, Time: 16.7 seconds
Name: -, Instruction: Keep left, Distance: 10.1 meters, Time: 7.3 seconds
Name: -, Instruction: Turn left, Distance: 22.5 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 198.2 meters, Time: 142.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
