Name: شارع ابن غره, Instruction: Head south on شارع ابن غره, Distance: 56.9 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn slight left, Distance: 173.1 meters, Time: 124.6 seconds
Name: -, Instruction: Turn right, Distance: 47.2 meters, Time: 34.0 seconds
Name: -, Instruction: Keep left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn slight right, Distance: 45.9 meters, Time: 33.0 seconds
Name: -, Instruction: Continue straight, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Turn right, Distance: 13.1 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 88.5 meters, Time: 63.7 seconds
Name: شارع ابو الفوراس, Instruction: Turn right onto شارع ابو الفوراس, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.6 meters, Time: 12.7 seconds
Name: -, Instruction: Turn right, Distance: 26.5 meters, Time: 19.1 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
