Name: Warner Road, Instruction: Head northeast on Warner Road, Distance: 68.7 meters, Time: 49.5 seconds
Name: -, Instruction: Turn right, Distance: 82.0 meters, Time: 59.1 seconds
Name: -, Instruction: Turn slight left, Distance: 48.1 meters, Time: 34.7 seconds
Name: -, Instruction: Turn right, Distance: 285.9 meters, Time: 205.9 seconds
Name: -, Instruction: Continue straight, Distance: 966.9 meters, Time: 696.1 seconds
Name: -, Instruction: Keep left, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn slight left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn slight right, Distance: 281.4 meters, Time: 202.6 seconds
Name: -, Instruction: Turn right, Distance: 41.3 meters, Time: 29.7 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 48.1 meters, Time: 34.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
