Name: Kingussie Avenue, Instruction: Head northwest on Kingussie Avenue, Distance: 37.6 meters, Time: 27.0 seconds
Name: -, Instruction: Turn right, Distance: 128.0 meters, Time: 92.2 seconds
Name: -, Instruction: Turn right, Distance: 181.5 meters, Time: 130.7 seconds
Name: Balintore Drive, Instruction: Turn left onto Balintore Drive, Distance: 388.3 meters, Time: 279.6 seconds
Name: -, Instruction: Turn left, Distance: 104.5 meters, Time: 75.2 seconds
Name: -, Instruction: Turn slight right, Distance: 50.5 meters, Time: 36.3 seconds
Name: -, Instruction: Turn right, Distance: 215.3 meters, Time: 155.0 seconds
Name: -, Instruction: Keep right, Distance: 94.8 meters, Time: 68.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn left, Distance: 97.3 meters, Time: 70.0 seconds
Name: Ulundri Drive, Instruction: Turn left onto Ulundri Drive, Distance: 343.1 meters, Time: 247.0 seconds
Name: Tuckwell Road, Instruction: Turn right onto Tuckwell Road, Distance: 27.5 meters, Time: 19.8 seconds
Name: Carcoola Street, Instruction: Turn left onto Carcoola Street, Distance: 111.5 meters, Time: 80.3 seconds
Name: Coolibah Street, Instruction: Turn right onto Coolibah Street, Distance: 220.2 meters, Time: 158.6 seconds
Name: Kywong Avenue, Instruction: Turn left onto Kywong Avenue, Distance: 133.2 meters, Time: 95.9 seconds
Name: -, Instruction: Arrive at Kywong Avenue, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
