Name: Segar Road, Instruction: Head northwest on Segar Road, Distance: 29.5 meters, Time: 21.3 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn left onto Bukit Panjang Park Connector, Distance: 153.9 meters, Time: 110.8 seconds
Name: CPN, Instruction: Turn right onto CPN, Distance: 62.4 meters, Time: 44.9 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn left onto Bukit Panjang Park Connector, Distance: 88.4 meters, Time: 63.7 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn right onto Bukit Panjang Park Connector, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 23.0 meters, Time: 16.6 seconds
Name: -, Instruction: Turn right, Distance: 625.4 meters, Time: 450.3 seconds
Name: Bukit Panjang Park Connector, Instruction: Continue straight onto Bukit Panjang Park Connector, Distance: 16.3 meters, Time: 11.7 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn left onto Bukit Panjang Park Connector, Distance: 18.4 meters, Time: 13.2 seconds
Name: Bukit Panjang Park Connector, Instruction: Turn slight left onto Bukit Panjang Park Connector, Distance: 85.3 meters, Time: 61.4 seconds
Name: -, Instruction: Keep right, Distance: 119.2 meters, Time: 85.8 seconds
Name: Pang Sua Park Connector, Instruction: Turn right onto Pang Sua Park Connector, Distance: 5.5 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 20.1 meters, Time: 14.4 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: Bukit Panjang Road, Instruction: Turn left onto Bukit Panjang Road, Distance: 43.7 meters, Time: 31.4 seconds
Name: Lompang Road, Instruction: Keep left onto Lompang Road, Distance: 213.5 meters, Time: 153.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
