Name: Rue du Pont Neuf, Instruction: Head northeast on Rue du Pont Neuf, Distance: 231.6 meters, Time: 166.8 seconds
Name: Place Maurice Quentin, Instruction: Turn right onto Place Maurice Quentin, Distance: 38.2 meters, Time: 27.5 seconds
Name: -, Instruction: Continue straight, Distance: 19.6 meters, Time: 14.1 seconds
Name: Allée Blaise-Cendrars, Instruction: Turn left onto Allée Blaise-Cendrars, Distance: 13.9 meters, Time: 10.0 seconds
Name: Allée André-Breton, Instruction: Turn right onto Allée André-Breton, Distance: 134.6 meters, Time: 96.9 seconds
Name: Rue Rambuteau, Instruction: Turn left onto Rue Rambuteau, Distance: 10.0 meters, Time: 7.2 seconds
Name: Rue de Turbigo, Instruction: Turn right onto Rue de Turbigo, Distance: 36.4 meters, Time: 26.2 seconds
Name: Rue de Turbigo, Instruction: Turn sharp left onto Rue de Turbigo, Distance: 10.2 meters, Time: 7.3 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: Rue Montmartre, Instruction: Turn slight left onto Rue Montmartre, Distance: 167.3 meters, Time: 120.5 seconds
Name: Rue Montmartre, Instruction: Continue straight onto Rue Montmartre, Distance: 299.5 meters, Time: 215.7 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep right, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Keep right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: -, Instruction: Keep left, Distance: 171.9 meters, Time: 123.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
