Name: Station Road, Instruction: Head northwest on Station Road, Distance: 77.2 meters, Time: 55.6 seconds
Name: -, Instruction: Turn left, Distance: 96.8 meters, Time: 69.7 seconds
Name: Claremont Avenue, Instruction: Turn right onto Claremont Avenue, Distance: 50.1 meters, Time: 36.1 seconds
Name: Consfield Avenue, Instruction: Turn left onto Consfield Avenue, Distance: 446.8 meters, Time: 321.7 seconds
Name: -, Instruction: Turn right, Distance: 53.1 meters, Time: 38.2 seconds
Name: -, Instruction: Continue straight, Distance: 101.3 meters, Time: 72.9 seconds
Name: -, Instruction: Turn left, Distance: 28.2 meters, Time: 20.3 seconds
Name: -, Instruction: Turn left, Distance: 24.8 meters, Time: 17.9 seconds
Name: -, Instruction: Turn slight right, Distance: 195.3 meters, Time: 140.6 seconds
Name: -, Instruction: Turn left, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn left, Distance: 99.8 meters, Time: 71.8 seconds
Name: -, Instruction: Turn slight right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn slight right, Distance: 94.2 meters, Time: 67.8 seconds
Name: -, Instruction: Turn left, Distance: 60.3 meters, Time: 43.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
