Name: Derby Street, Instruction: Head northeast on Derby Street, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 70.9 meters, Time: 51.0 seconds
Name: -, Instruction: Turn right, Distance: 426.3 meters, Time: 306.9 seconds
Name: -, Instruction: Turn right, Distance: 279.8 meters, Time: 201.5 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn slight right, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Keep left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Turn right, Distance: 46.9 meters, Time: 33.8 seconds
Name: Old Brewery Lane, Instruction: Turn right onto Old Brewery Lane, Distance: 39.6 meters, Time: 28.5 seconds
Name: Old Brewery Lane, Instruction: Turn left onto Old Brewery Lane, Distance: 43.4 meters, Time: 31.2 seconds
Name: -, Instruction: Arrive at Old Brewery Lane, on the right, Distance: 0.0 meters, Time: 0.0 seconds
