Name: Cross Lane, Instruction: Head southwest on Cross Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: Cross Street, Instruction: Turn left onto Cross Street, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 112.5 meters, Time: 81.0 seconds
Name: -, Instruction: Keep left, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn right, Distance: 579.3 meters, Time: 417.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 22.6 meters, Time: 16.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 20.2 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 183.7 meters, Time: 132.3 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 212.2 meters, Time: 152.8 seconds
Name: -, Instruction: Turn right, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Turn right, Distance: 112.9 meters, Time: 81.3 seconds
Name: Trelawney Street, Instruction: Turn right onto Trelawney Street, Distance: 8.8 meters, Time: 6.3 seconds
Name: Jersey Road, Instruction: Turn left onto Jersey Road, Distance: 77.9 meters, Time: 56.1 seconds
Name: Holdsworth Street, Instruction: Keep left onto Holdsworth Street, Distance: 147.4 meters, Time: 106.1 seconds
Name: -, Instruction: Turn right, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn left, Distance: 37.9 meters, Time: 27.3 seconds
Name: Morrell Street, Instruction: Turn right onto Morrell Street, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 23.1 meters, Time: 16.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
