Name: 劇場通り, Instruction: Head south on 劇場通り, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 290.6 meters, Time: 209.3 seconds
Name: -, Instruction: Keep left, Distance: 191.2 meters, Time: 137.6 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 437.8 meters, Time: 315.2 seconds
Name: -, Instruction: Keep left, Distance: 41.7 meters, Time: 30.0 seconds
Name: -, Instruction: Keep right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 259.9 meters, Time: 187.1 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 83.6 meters, Time: 60.2 seconds
Name: -, Instruction: Turn left, Distance: 64.3 meters, Time: 46.3 seconds
Name: -, Instruction: Turn right, Distance: 296.1 meters, Time: 213.2 seconds
Name: -, Instruction: Turn left, Distance: 207.8 meters, Time: 149.6 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 41.1 meters, Time: 29.6 seconds
Name: -, Instruction: Turn right, Distance: 28.0 meters, Time: 20.2 seconds
Name: -, Instruction: Turn left, Distance: 19.8 meters, Time: 14.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
