Name: Avenida André Versálio, Instruction: Head southwest on Avenida André Versálio, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 26.7 meters, Time: 19.2 seconds
Name: Estrada do Rio do A, Instruction: Turn right onto Estrada do Rio do A, Distance: 89.2 meters, Time: 64.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 39.9 meters, Time: 28.8 seconds
Name: Rua Alfredo de Moraes, Instruction: Turn slight right onto Rua Alfredo de Moraes, Distance: 155.2 meters, Time: 111.7 seconds
Name: Rua Alfredo de Moraes, Instruction: Keep right onto Rua Alfredo de Moraes, Distance: 21.9 meters, Time: 15.8 seconds
Name: Rua Alfredo de Moraes, Instruction: Turn sharp left onto Rua Alfredo de Moraes, Distance: 484.4 meters, Time: 348.8 seconds
Name: Rua Jaguaruna, Instruction: Turn left onto Rua Jaguaruna, Distance: 50.7 meters, Time: 36.5 seconds
Name: -, Instruction: Turn right, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
