Name: Muscovy Street, Instruction: Head east on Muscovy Street, Distance: 12.0 meters, Time: 8.7 seconds
Name: Seething Lane, Instruction: Turn left onto Seething Lane, Distance: 121.9 meters, Time: 87.8 seconds
Name: Crutched Friars, Instruction: Turn right onto Crutched Friars, Distance: 148.1 meters, Time: 106.6 seconds
Name: Coopers Row, Instruction: Turn left onto Coopers Row, Distance: 135.7 meters, Time: 97.7 seconds
Name: Jewry Street, Instruction: Continue straight onto Jewry Street, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 215.5 meters, Time: 155.2 seconds
Name: -, Instruction: Turn left, Distance: 24.9 meters, Time: 17.9 seconds
Name: Whitechapel High Street, Instruction: Turn left onto Whitechapel High Street, Distance: 8.4 meters, Time: 6.1 seconds
Name: Whitechapel High Street, Instruction: Keep right onto Whitechapel High Street, Distance: 131.6 meters, Time: 94.7 seconds
Name: -, Instruction: Turn left, Distance: 39.7 meters, Time: 28.5 seconds
Name: Whitechapel High Street, Instruction: Turn right onto Whitechapel High Street, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 27.0 meters, Time: 19.4 seconds
Name: Whitechapel High Street, Instruction: Turn right onto Whitechapel High Street, Distance: 1203.7 meters, Time: 866.7 seconds
Name: -, Instruction: Arrive at Whitechapel High Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
