Name: Rue George Sand, Instruction: Head southeast on Rue George Sand, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn left, Distance: 2.6 meters, Time: 1.8 seconds
Name: -, Instruction: Turn right, Distance: 128.5 meters, Time: 92.5 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn right, Distance: 21.9 meters, Time: 15.8 seconds
Name: -, Instruction: Turn right, Distance: 6.3 meters, Time: 4.5 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight left, Distance: 138.7 meters, Time: 99.8 seconds
Name: -, Instruction: Turn left, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn right, Distance: 12.8 meters, Time: 9.2 seconds
Name: -, Instruction: Turn right, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 128.2 meters, Time: 92.3 seconds
Name: -, Instruction: Turn left, Distance: 2.9 meters, Time: 2.1 seconds
Name: -, Instruction: Turn right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn right, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Keep left, Distance: 163.2 meters, Time: 117.5 seconds
Name: -, Instruction: Turn right, Distance: 166.2 meters, Time: 119.7 seconds
Name: -, Instruction: Turn right, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 157.9 meters, Time: 113.7 seconds
Name: -, Instruction: Turn left, Distance: 7.0 meters, Time: 5.0 seconds
Name: Avenue de Lamballe, Instruction: Turn right onto Avenue de Lamballe, Distance: 148.3 meters, Time: 106.8 seconds
Name: Avenue de Lamballe, Instruction: Continue straight onto Avenue de Lamballe, Distance: 148.5 meters, Time: 106.9 seconds
Name: -, Instruction: Turn left, Distance: 18.4 meters, Time: 13.2 seconds
Name: -, Instruction: Turn slight right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: Avenue du Président Kennedy, Instruction: Turn left onto Avenue du Président Kennedy, Distance: 309.8 meters, Time: 223.0 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 270.5 meters, Time: 194.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 45.1 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 314.9 meters, Time: 226.7 seconds
Name: -, Instruction: Turn right, Distance: 78.4 meters, Time: 56.4 seconds
Name: -, Instruction: Turn left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Turn right, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 43.9 meters, Time: 31.6 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.5 seconds
Name: Rue du Général Lambert, Instruction: Turn left onto Rue du Général Lambert, Distance: 78.8 meters, Time: 56.7 seconds
Name: -, Instruction: Arrive at Rue du Général Lambert, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
