Name: Croft Street, Instruction: Head north on Croft Street, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 165.6 meters, Time: 119.2 seconds
Name: -, Instruction: Turn slight left, Distance: 1.0 meters, Time: 0.7 seconds
Name: -, Instruction: Turn slight right, Distance: 500.5 meters, Time: 360.3 seconds
Name: -, Instruction: Turn left, Distance: 17.6 meters, Time: 12.6 seconds
Name: -, Instruction: Turn slight right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: Clinton Street, Instruction: Turn left onto Clinton Street, Distance: 102.4 meters, Time: 73.7 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.8 seconds
Name: -, Instruction: Turn left, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn left, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 5.2 meters, Time: 3.8 seconds
Name: Bellwoods Avenue, Instruction: Turn left onto Bellwoods Avenue, Distance: 290.8 meters, Time: 209.4 seconds
Name: -, Instruction: Turn right, Distance: 59.6 meters, Time: 42.9 seconds
Name: Gore Vale Avenue, Instruction: Turn left onto Gore Vale Avenue, Distance: 85.5 meters, Time: 61.5 seconds
Name: -, Instruction: Turn right, Distance: 137.4 meters, Time: 98.9 seconds
Name: -, Instruction: Keep right, Distance: 62.5 meters, Time: 45.0 seconds
Name: -, Instruction: Turn slight left, Distance: 23.3 meters, Time: 16.8 seconds
Name: -, Instruction: Keep right, Distance: 129.5 meters, Time: 93.2 seconds
Name: -, Instruction: Turn left, Distance: 113.5 meters, Time: 81.7 seconds
Name: Trinity Circle, Instruction: Turn right onto Trinity Circle, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn sharp right, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp left, Distance: 45.4 meters, Time: 32.7 seconds
Name: -, Instruction: Turn right, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Keep left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: Trinity Park Lane, Instruction: Turn right onto Trinity Park Lane, Distance: 4.4 meters, Time: 3.2 seconds
Name: Crawford Street, Instruction: Turn left onto Crawford Street, Distance: 36.7 meters, Time: 26.4 seconds
Name: -, Instruction: Turn right, Distance: 94.4 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 19.4 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 32.2 meters, Time: 23.2 seconds
Name: -, Instruction: Turn left, Distance: 53.4 meters, Time: 38.5 seconds
Name: -, Instruction: Turn slight left, Distance: 52.5 meters, Time: 37.8 seconds
Name: -, Instruction: Turn left, Distance: 120.3 meters, Time: 86.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
