Name: Billings Avenue, Instruction: Head north on Billings Avenue, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn left, Distance: 100.5 meters, Time: 72.4 seconds
Name: -, Instruction: Turn right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 63.3 meters, Time: 45.6 seconds
Name: -, Instruction: Keep right, Distance: 244.6 meters, Time: 176.1 seconds
Name: -, Instruction: Keep right, Distance: 6.0 meters, Time: 4.4 seconds
Name: Hastings Avenue, Instruction: Turn right onto Hastings Avenue, Distance: 23.5 meters, Time: 16.9 seconds
Name: -, Instruction: Turn left, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Keep left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Keep right, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Keep left, Distance: 115.8 meters, Time: 83.4 seconds
Name: -, Instruction: Turn slight right, Distance: 21.4 meters, Time: 15.4 seconds
Name: -, Instruction: Turn slight left, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Turn right, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 67.0 meters, Time: 48.3 seconds
Name: -, Instruction: Turn left, Distance: 4.1 meters, Time: 2.9 seconds
Name: Galt Avenue, Instruction: Turn right onto Galt Avenue, Distance: 204.0 meters, Time: 146.9 seconds
Name: -, Instruction: Turn left, Distance: 86.5 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 53.3 meters, Time: 38.4 seconds
Name: -, Instruction: Turn left, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Turn right, Distance: 82.1 meters, Time: 59.1 seconds
Name: -, Instruction: Turn left, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn right, Distance: 3.8 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 122.9 meters, Time: 88.5 seconds
Name: -, Instruction: Turn right, Distance: 57.9 meters, Time: 41.7 seconds
Name: -, Instruction: Turn slight right, Distance: 168.5 meters, Time: 121.3 seconds
Name: -, Instruction: Turn slight left, Distance: 2.4 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight right, Distance: 10.7 meters, Time: 7.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
