Name: Impasse Orfila, Instruction: Head northwest on Impasse Orfila, Distance: 3.9 meters, Time: 2.8 seconds
Name: Rue Orfila, Instruction: Turn left onto Rue Orfila, Distance: 35.7 meters, Time: 25.7 seconds
Name: Cité des Écoles, Instruction: Turn right onto Cité des Écoles, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 61.5 meters, Time: 44.3 seconds
Name: -, Instruction: Turn slight right, Distance: 56.6 meters, Time: 40.8 seconds
Name: -, Instruction: Keep left, Distance: 95.8 meters, Time: 69.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue de la Bidassoa, Instruction: Turn right onto Rue de la Bidassoa, Distance: 92.9 meters, Time: 66.9 seconds
Name: Rue de la Bidassoa, Instruction: Continue straight onto Rue de la Bidassoa, Distance: 157.4 meters, Time: 113.3 seconds
Name: Allée Chantal Akerman, Instruction: Keep right onto Allée Chantal Akerman, Distance: 112.6 meters, Time: 81.1 seconds
Name: -, Instruction: Turn left, Distance: 8.8 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn slight right, Distance: 162.2 meters, Time: 116.8 seconds
Name: -, Instruction: Turn left, Distance: 1.6 meters, Time: 1.2 seconds
Name: Rue Henri Chevreau, Instruction: Turn right onto Rue Henri Chevreau, Distance: 85.4 meters, Time: 61.5 seconds
Name: Rue des Couronnes, Instruction: Turn left onto Rue des Couronnes, Distance: 12.7 meters, Time: 9.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 184.0 meters, Time: 132.5 seconds
Name: -, Instruction: Turn right, Distance: 121.5 meters, Time: 87.4 seconds
Name: -, Instruction: Turn right, Distance: 51.8 meters, Time: 37.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
