Name: Winona Drive, Instruction: Head south on Winona Drive, Distance: 309.8 meters, Time: 223.0 seconds
Name: -, Instruction: Turn right, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn left, Distance: 175.8 meters, Time: 126.6 seconds
Name: -, Instruction: Turn left, Distance: 84.3 meters, Time: 60.7 seconds
Name: -, Instruction: Keep right, Distance: 217.9 meters, Time: 156.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 18.0 meters, Time: 12.9 seconds
Name: -, Instruction: Turn left, Distance: 82.6 meters, Time: 59.5 seconds
Name: -, Instruction: Keep left, Distance: 136.0 meters, Time: 97.9 seconds
Name: -, Instruction: Turn left, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 21.6 meters, Time: 15.5 seconds
Name: Dupont Street, Instruction: Turn slight right onto Dupont Street, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Arrive at Dupont Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
